Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,mgene0,mgene1,mgene2,phen0,phen1,phen2
187,3332,1,0,2,0,-0.0309985,-0.0957347,0.0525144,-0.173099,0.0381239,-0.073531,10,0.5,0.3305
188,3333,1,0,2,0,-0.0849979,-0.0239877,0.0525144,-0.022657,-0.0298185,-0.141672,10,0.5,0.247709
189,3337,1,1,2,0,0.0820233,0.134875,-0.269139,-0.0507314,0.0703892,-0.00699485,10,0.5,0.0205329
190,3338,1,1,2,0,-0.0241653,0.134875,-0.0564613,-0.0811159,-0.172633,-0.012028,10,0.5,0.272821
191,3341,1,1,2,0,0.18978,-0.10373,0.0119665,0.0935869,-0.0475079,-0.129777,10,0.5,0.212895
192,3345,1,0,2,0,-0.0304611,-0.196379,-0.00955751,-0.140292,-0.172633,-0.0931748,10,0.5,0.231215
193,3347,1,0,2,0,0.0352726,0.0370861,0.0409958,-0.0811159,-0.0298185,0.140366,10,0.5,0.57639
194,3352,1,0,2,0,0.0701613,0.134875,-0.00561113,0.0442896,0.200106,-0.0174531,10,0.5,0.328012
195,3354,1,1,2,0,0.0325571,-0.0610469,-0.00561113,0.185671,-0.00872093,-0.269139,10,0.5,0.0222141
196,3355,1,1,2,0,-0.0350953,0.0180794,0.0143608,0.0563905,-0.00872093,0.0794922,10,0.5,0.470067
197,3357,1,0,2,0,0.00672262,-0.0298185,-0.061082,0.0935869,0.0877409,0.105968,10,0.5,0.410571
198,3359,1,1,2,0,-0.0304611,-0.394149,0.0409958,-0.0309985,-0.10373,0.0119665,10,0.5,0.420384
199,3360,1,0,2,0,-0.000311832,0.134875,-0.0400209,0.0754317,0.222485,0.160775,10,0.5,0.502751
200,3364,1,0,2,0,0.00672262,-0.033265,-0.00955751,0.0935869,0.0877409,0.105968,10,0.5,0.473174
201,3365,1,1,2,0,-0.0350953,0.0919992,0.171453,-0.174552,-0.0957347,0.0217566,10,0.5,0.590784
202,3366,1,1,2,0,0.0897868,0.0180794,0.0040247,0.0718214,-0.0956569,0.0525144,10,0.5,0.42473
203,3369,1,1,2,0,0.0366108,0.0352776,0.179763,0.116464,0.0352776,0.179763,10,0.5,0.79286
204,3370,1,0,2,0,-0.0507314,-0.0610469,0.124066,0.161501,-0.0957347,-0.199015,10,0.5,0.264973
205,3373,1,1,2,0,-0.000311832,0.0370861,0.00460105,0.0325571,0.207166,-0.061082,10,0.5,0.287411
206,3374,1,0,2,0,0.0701613,0.134875,-0.00561113,0.0820233,0.0381239,0.0686572,10,0.5,0.432636
207,3376,1,1,2,0,0.0442896,0.0738515,-0.00699485,0.0979729,-0.10373,-0.0931748,10,0.5,0.234329
208,3401,1,1,2,0,-0.140292,0.0180794,0.0105063,-0.181677,-0.0634343,-0.198843,10,0.5,0.127206
209,3411,1,0,2,0,-0.0494704,-0.10373,0.179763,0.0718214,0.0482511,-0.211662,10,0.5,0.317278
210,3415,1,1,2,0,-0.0867219,0.0252698,-0.141123,-0.0304611,-0.127416,0.0794922,10,0.5,0.281154
211,3416,1,0,2,0,-0.0507314,-0.0610469,0.0213059,-0.0849979,0.00935752,0.0181428,10,0.5,0.403965
212,3422,1,1,2,0,-0.0507314,0.0735077,0.0213059,0.00672262,0.00935752,0.0105063,10,0.5,0.394687
213,3423,1,1,2,0,-0.19167,0.140383,0.204806,-0.0597838,-0.0470417,-0.061082,10,0.5,0.530659
214,3433,1,0,2,0,-0.121037,0.200106,-0.0174531,-0.121037,0.169365,0.0105063,10,0.5,0.347595
215,3437,1,1,2,0,0.0453465,0.0872899,0.140366,-0.0597838,-0.172633,-0.0931748,10,0.5,0.413372
216,3441,1,0,2,0,-0.181677,0.0180794,-0.019566,-0.0107399,0.141173,-0.12518,10,0.5,0.180169
217,3444,1,1,2,0,0.00365706,-0.0391732,0.0525144,-0.126853,-0.0236419,0.0807381,10,0.5,0.517937
218,3445,1,1,2,0,0.18978,-0.0634339,-0.00955751,-0.0188363,0.0735077,0.0359381,10,0.5,0.388088
219,3450,1,0,2,0,-0.0757814,-0.127416,0.0140882,0.0754317,-0.0715264,-0.00792649,10,0.5,0.363522
220,3453,1,0,2,0,-0.264539,-0.046093,-0.141123,-0.0188363,0.0482511,0.122192,10,0.5,0.333035
221,3456,1,0,2,0,-0.0992825,0.0546663,0.0619392,-0.264539,0.0252698,0.0873613,10,0.5,0.537435
222,3465,1,1,2,0,0.0397055,-0.12078,-0.061082,0.0238125,-0.0705341,0.0976818,10,0.5,0.400504
223,3468,1,0,2,0,0.0397055,-0.0634339,0.0643646,-0.0309985,0.0919992,0.0807381,10,0.5,0.532335
224,3471,1,1,2,0,-0.0107399,-0.103562,-0.114609,-0.0506013,-0.0634343,0.0941633,10,0.5,0.331194
